"dataset1","dataset2","distance"
collins,energy-efficiency,7.760119069389823
collins,eye_movements,10.527297055368797
collins,fabert,10.97705357476943
collins,fars,10.69628193016046
collins,fashion-mnist,10.818555308667442
collins,gas-drift-different-concentrations,8.500570336884048
collins,gas-drift,8.471051152735882
collins,gina_prior2,8.659485937028098
collins,glass,7.468356163479145
collins,har,9.837563243434605
collins,hayes-roth,7.6734398648510425
collins,heart-long-beach,7.540016160564658
collins,heart-switzerland,7.507926481479684
collins,helena,10.883742356310197
collins,indian_pines,10.91509904643212
collins,iris,8.292619112871812
collins,jannis,10.856502610340831
collins,japanesevowels,7.695028249706322
collins,jungle_chess_2pcs_endgame_panther_elephant,7.921291820342108
collins,jungle_chess_2pcs_raw_endgame_complete,10.404894057497248
collins,leaf,7.656997256881537
collins,led-display-domain-7digit,7.49678881985064
collins,mfeat-factors,6.907629044721595
collins,mfeat-fourier,7.0312892331893595
collins,mfeat-karhunen,7.098531582963681
collins,mfeat-morphological,7.890070979266442
collins,mfeat-pixel,7.7641993937735965
collins,microaggregation2,9.954068183111513
collins,nursery,9.997289868404655
collins,page-blocks,8.384133482864778
collins,pokerhand,10.86690717017842
collins,popularkids,7.352576632976005
collins,prnn_fglass,7.468356163479148
collins,prnn_viruses,7.512495378797827
collins,rmftsa_sleepdata,7.376043411748247
collins,robot-failures-lp1,7.086512071578024
collins,robot-failures-lp5,7.362604131026227
collins,satimage,10.112171652295363
collins,seeds,7.768144984867256
collins,segment,8.256592666017331
collins,seismic-bumps,7.768144984867256
collins,semeion,7.097059985096128
collins,shuttle,10.873630489408647
collins,spectrometer,6.661094236431704
collins,steel-plates-fault,7.696939624355683
collins,synthetic_control,6.9812672139529806
collins,tae,7.4719000444988986
collins,tamilnadu-electricity,10.586742627924874
collins,teachingassistant,8.2051108089784
collins,thyroid-allbp,7.882414434293036
collins,thyroid-allhyper,7.882414434293036
collins,user-knowledge,7.403707769703059
collins,vehicle,7.661312857763126
collins,vertebra-column,7.954398111761432
collins,volcanoes-a1,7.591101457851617
collins,volcanoes-a3,7.224123643233314
collins,volcanoes-a4,6.986387592511742
collins,volcanoes-d1,10.87012041577253
collins,wall-robot-navigation,7.5464955167222305
collins,waveform-5000,10.181289933401928
collins,wine-quality-white,9.33430659079248
collins,wine,7.723571084322471
collins,zoo,8.601435543829535
